Titulo;Autor;Editora; Valor 
Liberalismo e Natureza - A Propriedade em John Locke;Rodrigo Suzuki Cintra;Atelie; 45,00 
Linguística Cognitiva - Uma Visão Geral e Aplicada;Antônio Suárez Abreu;Atelie; 43,00 
Lira dos Vinte Anos;Álvares de Azevedo, José Emílio Major Neto;Atelie; 48,80 
Literatulogia;Janilto Andrade;Atelie; 26,00 
Literatura Comparada e Relações Comunitárias, Hoje;Benjamin Abdala Jr.;Atelie; 50,00 
Literatura e Memória Política - Angola. Brasil. Moçambique. Portugal;Benjamin Abdala Jr., Rejane Vecchia Rocha e Silva;Atelie; 52,00 
Literatura Grega: Irradiações;Donaldo Schüler;Atelie; 57,00 
Literatura, História e Política (3a. ed.);Benjamin Abdala Jr.;Atelie; 65,00 
Livro - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 33,00 
Livro 7/8 - revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 88,00 
Livro das Origens, O;Geraldo Holanda Cavalcanti;Atelie; 85,00 
Livro e Liberdade;Luciano Canfora;Atelie; 31,00 
Livro n. 6 - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 88,00 
Livro n.3 - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 53,00 
Livro n.4 - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 55,00 
Livro n.5 - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 77,00 
Livro no Jornal, O;Isabel Travancas;Atelie; 42,00 
Livros e Leituras na Espanha do Século de Ouro;Antonio Castillo Gómez;Atelie; 49,00 
Livros e Subversão - Seis Estudos;Sandra Reimão;Atelie; 52,00 
Livros Proibidos, Ideias Malditas;Maria Luiza Tucci Carneiro;Atelie; 57,00 
Livros, Editoras & Projetos;Jerusa Pires Ferreira, Jacó Guinsburg, Plinio Martins Filho, Maria Otilia Bocchini;Atelie; 30,00 
Lodo;Luis Dolhnikoff;Atelie; 62,00 
Lâmina do Tempo;Moacyr Godoy Moreira;Atelie; 37,50 
Lâmpada da Memória, A;John Ruskin;Atelie; 38,00 
Luci Collin - Antologia Poética (1984-2018);Luci Collin;Atelie; 39,90 
Lugar, Tempo, Olhar - Arte Brasileira na França Românica;Anne Louyot;Atelie; 75,00 
Lusíadas, Os - Episódios;Luís de Camões, Ivan Teixeira;Atelie; 46,50 
Machado e Rosa - Leituras Críticas;Marli Fantini Scarpelli;Atelie; 85,00 
Macunaíma;Mário de Andrade;Atelie; 310,00 
Maias, Os;Eça de Queirós;Atelie; 83,00 
Males do Tabaco e Outras Peças em um Ato, Os;Anton Tchékhov;Atelie; 34,00 
Males do Tabaco, Os (3a. ed.);Anton Tchékhov;Atelie; 39,00 
Malhas da Cultura 1, As;José Guilherme Pereira Leite;Atelie; 43,00 
Malhas da Cultura 2, As;José Guilherme Pereira Leite;Atelie; 45,00 
Manuais de Desenho da Escrita, Os;Maria Helena Werneck Bomeny;Atelie; 210,00 
Manual de Versificação Românica Medieval;Segismundo Spina;Atelie; 41,00 
Manual do Estilo Desconfiado;Fernando Paixão;Atelie; 36,00 
Manuel Bandeira e a Música - com Três Poemas Visitados;Pedro Marques;Atelie; 42,00 
Marca do Leviatã, A - Linguagem e Poder em Hobbes;Renato Janine Ribeiro;Atelie; 42,00 
Mariannita Luzzati;Gabriel Pérez Barreiro;Atelie; 41,00 
Marx, Zola e a Prosa Realista;Salete de Almeida Cara;Atelie; 46,00 
MASSAO OHNO, Editor;Massao Ohno, Jose Armando Pereira da Silva;Atelie; 180,00 
Matéria Lítica: Drummond, Cabral, Neruda e Paz;Mario Higa;Atelie; 52,00 
Matinas & Bagatelas;Maria do Carmo Campos;Atelie; 49,00 
Matrizes Impressas do Oral: Conto Russo no Sertão;Jerusa Pires Ferreira;Atelie; 68,00 
Matzá com Moussaká - Histórias de Judeus e Gregos;Táki Athanássios Cordás;Atelie; 52,00 
Máquina Peluda, A;Ademir Assunção;Atelie; 42,00 
Mário, Otávio - Cartas de Mário de Andrade a Otávio Dias Leite;Marcos Antonio de Moraes;Atelie; 42,00 
Medeia;Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides;Atelie; 42,00 
Medicina de Os Lusíadas, A;Pedro Nava;Atelie; 32,00 
Melancolias, Mercadorias: Dorival Caymmi, Chico Buarque, o Pregão de Rua e a Canção Popular-Comercial no Brasil;Walter Garcia;Atelie; 56,00 
Memória Futura;Paulo Franchetti;Atelie; 35,00 
Memórias Biográficas de Pintores Extraordinários;William Beckford;Atelie; 36,00 
Memórias de um Sargento de Milícias;Mamede Mustafa Jarouche, Manuel Antônio de Almeida;Atelie; 49,00 
Memórias Póstumas de Brás Cubas;Antonio Medina Rodrigues, Machado de Assis;Atelie; 45,00 
Memorial de Mogi das Cruzes;José Sebastião Witter;Atelie; 48,00 
Memorial de um Herege;Samuel Reibscheid;Atelie; 45,00 
Mensagem;António Apolinário Lourenço, Kaio Romero, Fernando Pessoa;Atelie; 45,00 
Meu Fausto (Esboços);Paul Valéry;Atelie; 49,00 
Milton Hatoum - Itinerário para um Certo Relato;Marleine Paula Marcondes e Ferreira de Toledo;Atelie; 42,00 
Mistério do Leão Rampante, O;Rodrigo Lacerda;Atelie; 92,00 
Mistérios do Dicionário;João Alexandre Barbosa;Atelie; 58,00 
Modernidade entre Tapumes, A;Vagner Camilo;Atelie; 112,00 
Modernização pelo Avesso - Impasses da Representação Literária em Os Contos de Belazarte, de Mário de Andrade;Wilson José Flores Jr.;Atelie; 46,00 
Moeda da Arte, A - A Dinâmica dos Campos Artístico e Econômico no Patrocínio;Eduardo Fragoaz;Atelie; 69,50 
Moleque de Fábrica - Uma Arqueologia da Memória Social;José de Souza Martins;Atelie; 82,00 
Morte aos Papagaios;Gustavo Piqueira;Atelie; 62,00 
Música do Parnaso;Manuel Botelho de Oliveira, Ivan Teixeira;Atelie; 115,00 
Muita Sorte & Pouco Juízo;José Roberto de Alencar;Atelie; 36,00 
Mulher no Escuro, A;Cláudia Vasconcellos;Atelie; 42,00 
Mulheres de Passagem;M. A. Amaral Rezende;Atelie; 41,00 
Museu da Infância Eterna;Miguel Sanches Neto;Atelie; 40,00 
Na Conquista do Brasil;Donaldo Schüler;Atelie; 52,00 
Na Madrugada das Formas Poéticas;Segismundo Spina;Atelie; 36,00 
Na Pureza do Sacrilégio;Carlos Cardoso;Atelie; 58,00 
Na Senda das Noites: Os Quatro Talismãs de Charles Nodier e Les mille et une nuits;Christiane Damien;Atelie; 51,00 
Nações Literárias;Wander Melo Miranda;Atelie; 52,00 
Narciso em Sacrifício - A Poética de Mário de Sá-Carneiro;Fernando Paixão;Atelie; 48,00 
Nas Águas do Mesmo Rio;Giselda Leirner;Atelie; 38,00 
Nas Tramas da Ficção - História, Literatura e Leitura;Clóvis Gruner, Cláudio DeNipoti;Atelie; 52,00 
Nebulosa, A;Joaquim Manuel de Macedo, Kaio Romero;Atelie; 43,00 
Neguinho;Guga Stroeter;Atelie; 48,00 
Nós e as Palavras;Luís Bueno;Atelie; 62,00 
No Fim das Terras;Milton Torres;Atelie; 76,00 
No Limiar da Noite;José de Souza Martins;Atelie; 38,00 
No Rastro de Afrodite - Plantas Afrodisíacas e Culinária;Gil Felippe;Atelie; 90,00 
Nome do Cuidado, O;Leo Lama, Paulo Hersch Rosenbaum;Atelie; 38,00 
Normas Gerais para os Trabalhos de Grau;Segismundo Spina;Atelie; 28,00 
Notícia Histórica da Vida e das Obras de José Haydn;J. Le Breton;Atelie; 34,00 
Novas Tecnologias - EGC Arquitetura;Renato Schroeder;Atelie; 25,00 
Nove Degraus para o Esquecimento;Aguinaldo Gonçalves;Atelie; 82,00 
Novelas, Espelhos e um Pouco de Choro;Thelma Guedes;Atelie; 52,00 
Noviço, O;José de Paula Ramos Jr., Martins Pena;Atelie; 32,00 
Novos Poemas;Carlos Vogt;Atelie; 66,00 
O Azul e o Mar;Paul Valéry, Eduardo de Campos Valadares;Atelie; 56,00 
O Hóspede;Mario Higa;Atelie; 38,00 
O Língua;Eromar Bomfim;Atelie; 40,00 
O Pai - 6a edição;Dirce de Assis Cavalcanti;Atelie; 48,00 
O Que Aconteceu, Aconteceu;Jacó Guinsburg;Atelie; 45,00 
O Que É Comunicação Poética;Décio Pignatari;Atelie; 36,00 
O Que É Um Livro?;João Adolfo Hansen;Atelie; 32,00 
O Um;Bruno Verner;Atelie; 48,00 
Obras Poéticas de Alvarenga Peixoto;Caio Cesar Esteves de Souza, Alvarenga Peixoto;Atelie; 88,00 
Octávio Brandão e as Matrizes Intelectuais do Marxismo no Brasil;Felipe Castilho de Lacerda;Atelie; 45,00 
Olga Savary - Erotismo e Paixão;Marleine Paula Marcondes e Ferreira de Toledo;Atelie; 52,00 
Olhares Desatentos;Sérgio Sesiki;Atelie; 42,00 
Olhares Plausíveis;Gregório Bacic;Atelie; 32,00 
Olho Vesgo, O;Tiago Mussi;Atelie; 28,00 
Orações Insubordinadas;Carlos Castelo;Atelie; 59,00 
Orestes;Eurípides, Trupersa - Trupe de Tradução de Teatro Antigo;Atelie; 47,00 
Orlando Furioso - Tomo I;Ludovico Ariosto;Atelie; 138,00 
Os Evangelhos - Uma Tradução;Marcelo Musa Cavallari;Atelie; 125,00 
Os Maias - 3a. ed.;Eça de Queirós;Atelie; 83,00 
Outra Guerra do Fim do Mundo, A;Osvaldo Coggiola;Atelie; 48,00 
Outra Língua;Henryk Siewierski;Atelie; 36,00 
Outro Lado do Vento, O;Wassily Chuck;Atelie; 46,00 
Ouvir o Som;Paulo Zuben;Atelie; 54,00 
País em Branco;Ricardo Rizzo;Atelie; 36,00 
Pagu - Literatura e Revolução;Thelma Guedes;Atelie; 48,00 
Pai de Max Bauer e Outros Contos, O;Marcos Rodrigues;Atelie; 42,00 
Palavra e Rosto;Fernando Paixão;Atelie; 58,00 
Palavra e Sombra - Ensaios de Crítica;Arthur Nestrovski;Atelie; 38,00 
Palmeirim de Inglaterra;Francisco de Moraes, Lênia Márcia Mongelli;Atelie; 199,00 
Papel-Jornal - Artigos de Jornalismo Cultural;Marcello Rollemberg;Atelie; 36,00 
Paradeiro;Luís Bueno;Atelie; 52,00 
Paratextos Editoriais;Gérard Genette;Atelie; 91,00 
Périplos;Simone Homem de Mello;Atelie; 52,00 
Parsona;Adriano Scandolara;Atelie; 44,90 
Parte da Tarde, A;Fernando Paixão;Atelie; 56,00 
Pas de Politique Mariô! Mario Pedrosa e a Política;Dainis Karepovs;Atelie; 51,00 
Passos da Semiótica Tensiva;Luiz Tatit;Atelie; 45,00 
Pastorinhas de Pirenópolis-GO, As;Lênia Márcia Mongelli, Neide Rodrigues Gomes;Atelie; 78,00 
Paulinho da Viola e o Elogio do Amor;Eliete Eça Negreiros;Atelie; 48,00 
Pedras Pensadas;Adolfo Montejo Navas;Atelie; 53,00 
Pedro Nava e a Construção do Texto;Edina Panichi, Miguel Luiz Contani;Atelie; 48,00 
Pequeno Guia Histórico das Livrarias Brasileiras;Ubiratan Machado;Atelie; 53,00 
Pequeno Livro do Cerrado, O;Gil Perini;Atelie; 34,00 
Pequeno Palco;Ricardo Lima;Atelie; 32,00 
Pequeno Pomo ou a História da Música do Pós-Modernismo, O;Boudewijn Buckinx;Atelie; 38,00 
Percursos pela África e por Macau;Benilde Justo Caniato;Atelie; 41,00 
Perseu, Medusa & Camille Claudel - Sobre a Experiência de Captura Estética;Ada Morgenstern;Atelie; 58,00 
Philobiblon ou O Amigo do Livro;Marcelo Castel Cid;Atelie; 53,00 
Pincelagens & Debuxos / Debuxos & Pincelagens;Hélio Cabral;Atelie; 78,00 
Pintura como Modelo para uma Filosofia da Expressão;Ana Westphal;Atelie; 39,00 
Poema dos Lunáticos, O;Ermanno Cavazzoni;Atelie; 60,00 
Poema, O: Leitores e Leituras;Andrea Saad Hossne, Ivone Daré Rabello, Viviana Bosi, Cláudia Arruda Campos;Atelie; 38,00 
Poemas Reunidos;Mario Higa, Cesário Verde;Atelie; 46,80 
Poesia como Pintura, A - A Ekphrasis em Albano Martins;Álvaro Cardoso Gomes;Atelie; 42,00 
Poesia É Criação: Uma Antologia;José de Almada Negreiros;Atelie; 63,00 
Poesia Pois É Poesia;Décio Pignatari;Atelie; 96,00 
Poesias;Segismundo Spina;Atelie; 38,00 
Poetas Românticos, Críticos e Outros Loucos;Charles Rosen;Atelie; 59,00 
Política Cultural e Economia da Cultura;José Carlos Durand;Atelie; 45,00 
Pontuação Circense;Ésio Macedo;Atelie; 32,00 
Por Minha Letra e Sinal - Documentos do Ouro do Século XVII;Heitor Megale, Sílvio de Almeida Toledo Neto;Atelie; 86,00 
Por um Cinema Popular - Leon Hirszman, Política e Resistência;Gustavo Piqueira, Reinaldo Cardenuto;Atelie; 88,00 
Por uma Nova Política - Uma Campanha na SBPC;Renato Janine Ribeiro;Atelie; 42,00 
Portanto... Pepetela;Rita Chaves, Tania Macêdo;Atelie; 54,00 
Portas do Sonho, As;Adélia Bezerra de Meneses;Atelie; 65,00 
Portos Flutuantes - Trânsitos Ibero-afro-americanos;Benjamin Abdala Jr., Marli Fantini Scarpelli;Atelie; 58,00 
Porvir que Vem Antes de Tudo - Literatura e Cinema em Lavoura Arcaica;Renato Tardivo;Atelie; 36,00 
Prelúdio da Metrópole - Arquitetura e Urbanismo em São Paulo na Passagem do Século XIX ao XX;Hugo Segawa;Atelie; 82,00 
Prenúncios e Vestígios;Edward Lopes;Atelie; 75,00 
Preservação do Patrimônio Arquitetônico da Industrialização;Beatriz Mugayar Kühl;Atelie; 92,00 
Primeiras Palavras;Douglas Messerli;Atelie; 28,00 
Primórdios da Cerveja no Brasil, Os;Sérgio de Paula Santos;Atelie; 26,00 
Privilégios, Os;Jerusa Pires Ferreira, Stendhal;Atelie; 25,00 
Processos de Criação em À Sombra das Raparigas em Flor, Os;Philippe Willemart;Atelie; 48,00 
Produção Gráfica para Designers;Mark Gatter;Atelie; 148,00 
Professor Riobaldo, O - Um Novo Místico da Poetagem;Héctor Olea;Atelie; 48,00 
Proust, Poeta e Psicanalista;Philippe Willemart;Atelie; 52,00 
Psicolirismo da Terapia Cotidiana;Rita Moutinho;Atelie; 51,00 
Quadragésimo;Horácio Costa;Atelie; 48,00 
Quarto Livro dos Fatos e Ditos Heroicos do Bom Pantagruel, O;François Rabelais;Atelie; 146,00 
Quase Fim de Serapião Filogônio, O;Jonas Rosa;Atelie; 36,00 
Quase Tudo;Ecos Falsos;Atelie; 30,00 
Quatro Ensaios sobre OSCAR NIEMEYER;Ingrid Quintana Guerrero, Paulo Bruna;Atelie; 58,00 
Queda do Muro de Berlim e a Presentificação da História, A;Flávia Bancher;Atelie; 41,00 
Questão da Ideologia no Círculo de Bakhtin, A;Luiz Rosalvo Costa;Atelie; 58,00 
Quincas Borba;Machado de Assis, Jean Pierre Chauvin, Kaio Romero;Atelie; 48,50 
Rabelais e Joyce - Três Leituras Menipeias;Élide Valarini Oliver;Atelie; 42,00 
Rapid Departures;Vincent Katz;Atelie; 58,00 
Réu Confesso - Poemas Reunidos (1968-2010);Luiz Meyer;Atelie; 44,00 
Realidade & Ilusão em Machado de Assis;José Aderaldo Castello;Atelie; 45,00 
Realidade Possível: Dilemas da Ficção em Henry James e Machado de Assis;Marcelo Pen Parreira;Atelie; 51,00 
Realidades e Ficções na Trama Fotográfica - 5ª Edição;Boris Kossoy;Atelie; 45,00 
Realidades e Ficções na Trama Fotográfica - 6a ed.;Boris Kossoy;Atelie; 47,00 
Refluxos;Edson Valente;Atelie; 28,00 
Relíquia, A;Fernando Marcílio L. Couto, Eça de Queirós;Atelie; 47,00 
Remorso do Cosmos;Régis Bonvicino;Atelie; 43,00 
René Thiollier - Obra e Vida do Grão-Senhor da Villa Fortunata e da Academia Paulista de Letras;Valter Cesar Pinheiro;Atelie; 54,00 
Repensando a Educação;Geraldina Porto Witter;Atelie; 29,00 
Repensando o Partido Verde Brasileiro;Tibor Rabóczkay;Atelie; 44,00 
República das Bicicletas;Moacyr Godoy Moreira;Atelie; 50,00 
Resíduos;David Oscar Vaz;Atelie; 35,00 
Resíduos Ensaísticos de uma Pós-Graduação;Segismundo Spina;Atelie; 28,00 
Resposta;Elisa Nazarian;Atelie; 48,00 
Restauração;E. E. Viollet-le-Duc;Atelie; 35,00 
Restauradores, Os;Camillo Boito;Atelie; 34,00 
Resumo do Dia;Heitor Ferraz;Atelie; 26,00 
Retorno de Bennu, O;Majela Colares;Atelie; 43,00 
Retrato do Brasil em Cordel;Mark Curran;Atelie; 98,00 
Revista de Estudos Orientais n° 4;Depto. Letras Orientais USP;Atelie; 58,00 
Revistas na Era Pós-Verso;Omar Khouri;Atelie; 38,00 
Rio na Parede, O;Gil Felippe;Atelie; 32,00 
Romance de Formação em Perspectiva Histórica - O Tambor de Lata de Günter Grass;Marcus Vinicius Mazzari;Atelie; 46,00 
Romance de Formação: Caminhos e Descaminhos do Herói;Marcus Vinicius Mazzari, Maria Cecilia Marks;Atelie; 96,00 
Rosa Luxemburgo: Crise e Revolução;Rosa Rosa Gomes;Atelie; 63,00 
Rosto da Memória, O;Décio Pignatari;Atelie; 42,00 
Roteiro para um Narrador - Uma Leitura dos Contos de Rubem Fonseca;Ariovaldo José Vidal;Atelie; 44,00 
Rousseau e as Artes;Paulo Mugayar Kühl, Célia Gambini;Atelie; 45,00 
Rudimentos da Vida Coletiva;Alcir Pécora;Atelie; 34,00 
Rumo à Vertigem ou A Arte de Naufragar-se;Wassily Chuck;Atelie; 58,00 
Rupturas - Poemas em Busca de um Eixo;Ana Maria Amaral;Atelie; 33,00 
Sabedoria do Bibliotecário, A;Michel Melot;Atelie; 36,00 
Salvações no Nordeste - Política e Participação Popular;Flávia Borges Pereira;Atelie; 46,00 
Sangue dos Dias Transparentes, O;Paulo Franchetti;Atelie; 36,00 
Sementes Aladas;Percy Bysshe Shelley;Atelie; 56,00 
Semiótica & Literatura (8a. ed.);Décio Pignatari;Atelie; 46,00 
Semiótica da Arte e da Arquitetura;Décio Pignatari;Atelie; 41,00 
Semiótica à Luz de Guimarães Rosa;Luiz Tatit;Atelie; 48,00 
Serafim Ponte Grande e as Dificuldades da Crítica Literária;Pascoal Farinaccio;Atelie; 52,00 
Sertões, Os - Campanha de Canudos;Leopoldo Bernucci, Euclides da Cunha;Atelie; 120,00 
Só (seguido de Despedidas);Annie Gisele Fernandes, Hélder Garmes, Antônio Nobre;Atelie; 49,00 
Sôbô - Uma Saga da Imigração Japonesa (2a. ed.);Tatsuzô Ishikawa;Atelie; 48,00 
Signos (em) Cena - Poemas | Ensaios;Aguinaldo Gonçalves;Atelie; 78,00 
Silêncios de Água e Pedra;Wassily Chuck;Atelie; 46,00 
Silêncios no Escuro;Maria Viana;Atelie; 38,00 
Simbolismo dos Padrões Geométricos da Arte Islâmica, O;Sylvia Leite;Atelie; 53,00 
Sinais das Ideias;Moacir Ferreira de Oliveira;Atelie; 45,00 
Soalho de Tábua;Moacyr Godoy Moreira;Atelie; 35,00 
Sobre o Filme Lavour'Arcaica;Luiz Fernando Carvalho;Atelie; 48,00 
Sociologia Brasileira Hoje;Carlos Benedito Martins, Sergio Miceli;Atelie; 68,00 
Sociologia Brasileira Hoje II;Sergio Miceli, Carlos Benedito Martins;Atelie; 60,00 
Sofia - Uma Ventania para Dentro / Sofia - Una Brisa para Dentro;Sidney Rocha;Atelie; 43,00 
Sombras da Percepção;Geoffrey Lynn, Aurora Fornoni Bernardini;Atelie; 38,00 
Sombras e Distâncias;Egberto Penido;Atelie; 28,00 
Sondas;José de Paula Ramos Jr.;Atelie; 42,00 
Sonetos de Camões;Carlos Cortez Minchillo, Izeti Fragata Torralvo, Luís de Camões;Atelie; 40,00 
Sudário;Guiomar de Grammont;Atelie; 48,00 
São Paulo: Trânsitos;Vincenzo Scarpellini;Atelie; 26,00 
São Paulo: Vidas;Vincenzo Scarpellini;Atelie; 26,00 
Teatro da Memória de Giulio Camillo, O;Milton José de Almeida;Atelie; 72,00 
Teatro de Animação;Ana Maria Amaral;Atelie; 38,00 
Teatro Russo - Literatura e Espetáculo;Arlete Cavalieri, Elena Vássina;Atelie; 89,00 
Tempo Solto;Amálio Pinheiro;Atelie; 42,00 
Tempo Vivo da Memória, O - Ensaios de Psicologia Social;Ecléa Bosi;Atelie; 62,00 
Tempos da Fotografia, Os - O Efêmero e o Perpétuo;Boris Kossoy;Atelie; 55,00 
Teoria da Poesia Concreta - Textos Críticos e Manifestos (1950-1960);Décio Pignatari, Augusto de Campos, Haroldo de Campos;Atelie; 68,00 
Teoria da Restauração;Cesare Brandi;Atelie; 62,00 
Terceiro Livro dos Fatos e Ditos Heroicos do Bom Pantagruel, O;François Rabelais;Atelie; 136,00 
Terceiro Tempo;Décio Pignatari;Atelie; 38,00 
Território de Epidauro;Pedro Nava;Atelie; 58,00 
Til - Romance Brasileiro;Ivan Teixeira, José de Alencar;Atelie; 47,80 
Timbre;Virgílio Maia;Atelie; 35,00 
Toda a Cidade de São Francisco do Pará;Gustavo Piqueira;Atelie; 35,00 
Todos Entoam - Ensaios, Conversas e Lembranças;Luiz Tatit;Atelie; 68,00 
Together 1996;Régis Bonvicino;Atelie; 28,00 
Tolerância e o Intempestivo, A;Edson Passetti;Atelie; 48,00 
Túnel do Tempo;José Sebastião Witter;Atelie; 38,00 
Tragédia Grega - O Mito em Cena;Daisi Malhadas;Atelie; 38,00 
Trajetória de Paulo Emilio;Adilson Mendes;Atelie; 52,00 
Trajetória em Noite Escura;Naoya Shiga;Atelie; 62,00 
Transliteração do Hebraico para Leitores Brasileiros;Saul Kirschbaum;Atelie; 18,00 
Transmutação Metalinguística na Poética de Edgard Braga, A;Beatriz Helena Ramos Amaral;Atelie; 46,00 
Transverso;Marcos Pamplona;Atelie; 44,90 
Três Vezes Machado de Assis;Ubiratan Machado;Atelie; 28,00 
Travessias - D. João VI e o Mundo Lusófono;Paulo Motta Oliveira;Atelie; 67,00 
Trágica História do Dr. Fausto, A;Christopher Marlowe, Luís Bueno;Atelie; 128,00 
Tripé;Rodrigo Lacerda;Atelie; 46,00 
Triste Fim de Policarpo Quaresma;Gustavo Martins, Lima Barreto, Ivan Teixeira;Atelie; 45,50 
Tropicália - Alegoria Alegria (5a. ed.);Celso Favaretto;Atelie; 57,00 
TV Digital.Br: Conceitos e Estudos sobre o ISDB-Tb;S. Squirra, Valdecir Becker;Atelie; 48,00 
Um Amor Literário;Letícia Malard;Atelie; 38,00 
Um Canto;Cacá Moreira de Souza;Atelie; 52,00 
Um Lance de Dados - 2a. ed.;Álvaro Faleiros, Stéphane Mallarmé;Atelie; 52,00 
Uma Lua em Paris;M. A. Amaral Rezende;Atelie; 38,00 
Urna, A;David Oscar Vaz;Atelie; 38,00 
Vanguardas: Brasil & Itália;Lúcia Wataghin;Atelie; 54,00 
Várias Histórias;José de Paula Ramos Jr., Machado de Assis;Atelie; 44,00 
Velho é o Espelho;Maria de Lourdes Ferreira Alves;Atelie; 46,00 
Velho Chico ou A Vida é Amável, O;Dirce de Assis Cavalcanti;Atelie; 48,00 
Velhos Amigos;Ecléa Bosi;Atelie; 43,00 
Vermelho;Aguinaldo Gonçalves;Atelie; 56,00 
Viagem a um Deserto Interior;Leila Guenther;Atelie; 42,00 
Viagem ao Egito, Jordânia e Israel;Pedro Nava;Atelie; 28,00 
Viagem de Joseph Língua;Pedro Américo de Farias;Atelie; 27,00 
Viagem Magnética;Décio Pignatari;Atelie; 32,00 
Viagens na Minha Terra;Ivan Teixeira, Kaio Romero, Almeida Garrett;Atelie; 47,80 
Vida e Morte de M. J. Gonzaga de Sá;Marcos Scheffel, Lima Barreto, Kaio Romero;Atelie; 43,00 
Vitrola dos Ausentes;Paulo Ribeiro;Atelie; 36,00 
Viva Vaia - Poesia 1949-1979;Augusto de Campos;Atelie; 160,00 
Vocabulário Português-Nheengatu - Nheengatu-Português;E. Stradelli;Atelie; 83,00 
Voo Noturno das Galinhas, O;Leila Guenther;Atelie; 38,00 
Voz que Canta na Voz que Fala, A - Poética e Política na Trajetória de Gilberto Gil;Pedro Henrique Varoni de Carvalho;Atelie; 62,00 
Vão-se os Dias e Eu Fico;Edson Nery da Fonseca;Atelie; 39,00 
William Morris - Sobre as Artes do Livro;William Morris, Gustavo Piqueira;Atelie; 160,00 
Yaser;Eda Nagayama;Atelie; 45,00 
Zé Ferino;Rodrigo Penteado;Atelie; 34,00 
